date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:58	143620/143620	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2017:10:19%20GMT	https://gamaan.org/	C:/My%20Web%20Sites/UM/gamaan.org/index.html	(from )
21:14:58	125/125	---MCZ	200	added ('OK')	text/plain	date:Thu,%2025%20Jan%202024%2017:14:58%20GMT	https://gamaan.org/robots.txt		(from )
21:14:59	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2025%20Jan%202024%2017:14:59%20GMT	https://gamaan.org/xmlrpc.php	C:/My%20Web%20Sites/UM/gamaan.org/xmlrpc.php	(from https://gamaan.org/)
21:15:00	11256/11256	---MCZ	200	added ('OK')	text/css	etag:W/%225f735862-2bf8%22	https://gamaan.org/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/UM/gamaan.org/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://gamaan.org/)
21:15:00	4186/4186	---MCZ	200	added ('OK')	text/css	etag:W/%225cfaccce-105a%22	https://gamaan.org/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-includes/js/mediaelement/wp-mediaelement.min1e39.css	(from https://gamaan.org/)
21:15:01	84340/84340	---MCZ	200	added ('OK')	text/css	etag:W/%226512e95e-14974%22	https://gamaan.org/wp-includes/css/dist/components/style.min.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-includes/css/dist/components/style.min1e39.css	(from https://gamaan.org/)
21:15:04	118086/118086	---MCZ	200	added ('OK')	text/css	etag:W/%22654136b0-1cd46%22	https://gamaan.org/wp-includes/css/dist/block-editor/style.min.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-includes/css/dist/block-editor/style.min1e39.css	(from https://gamaan.org/)
21:15:04	116411/116411	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22456602c90ca8a097b3330b7d622d0192%22	https://gamaan.org/feed/	C:/My%20Web%20Sites/UM/gamaan.org/feed/index.html	(from https://gamaan.org/)
21:15:04	28328/28328	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2025%20Jan%202024%2017:15:01%20GMT	https://gamaan.org/fa/%d8%ae%d8%a7%d9%86%d9%87/	C:/My%20Web%20Sites/UM/gamaan.org/fa/%d8%ae%d8%a7%d9%86%d9%87/index.html	(from https://gamaan.org/)
21:15:04	801/801	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22456602c90ca8a097b3330b7d622d0192%22	https://gamaan.org/comments/feed/	C:/My%20Web%20Sites/UM/gamaan.org/comments/feed/index.html	(from https://gamaan.org/)
21:15:04	490/490	---M--	200	added ('OK')	text/css	etag:%22649af113-1ea%22	https://gamaan.org/wp-includes/css/dist/reusable-blocks/style.min.css?ver=6.4.2	C:/My%20Web%20Sites/UM/gamaan.org/wp-includes/css/dist/reusable-blocks/style.min1e39.css	(from https://gamaan.org/)
